Player,Squad,League,Age,Pos,Valor_M€,Finaliza_Contrato,Score_GK_LG,Score_Final
Hervé Koffi,Angers,Ligue 1,29,GK,3.0,No,78.83863636363637,86.39409090909092
Ionuț Radu,Celta Vigo,La Liga,28,GK,5.0,No,76.17272727272726,82.06727272727272
Daniel Iversen,Preston North End,Championship,28,GK,2.5,No,68.67613636363636,81.20568181818182
Robin Risser,Lens,Ligue 1,21,GK,10.0,No,83.5943181818182,79.2475
Dominik Greif,Lyon,Ligue 1,28,GK,8.0,No,75.24545454545455,76.05636363636364
Augusto Batalla,Rayo Vallecano,La Liga,29,GK,6.0,No,61.5840909090909,69.67772727272727
Marco Carnesecchi,Atalanta,Serie A,25,GK,25.0,No,87.87499999999999,69.08863636363635
Ivor Pandur,Hull City,Championship,25,GK,2.2,No,48.778409090909086,67.44886363636363
Joan García,Barcelona,La Liga,24,GK,30.0,No,88.31136363636364,66.62318181818182
Moritz Nicolas,Gladbach,Bundesliga,28,GK,5.0,No,52.14545454545454,64.92363636363636
