Player,Squad,League,Age,Pos,Altura_cm,Pie,Finaliza_Contrato,Valor_M€,Score_MC,p_Efficiency,Score_Final
Abdoul Ouattara,Strasbourg,Ligue 1,20,"MF,DF",177.0,Right,No,9.0,47.23407643312102,78.02547770700637,54.15702707006369
Adam Daghim,Wolfsburg,Bundesliga,20,MF,187.0,Right,No,7.5,46.47770700636942,86.94267515923568,57.31582165605094
Adrián Liso,Getafe,La Liga,20,"FW,MF",184.0,Left,No,8.0,38.495222929936304,76.75159235668791,49.43320063694267
Alejandro Garnacho,Chelsea,Premier League,21,MF,180.0,Right,No,45.0,39.695859872611464,10.509554140127388,30.939968152866243
Aleksandar Pavlovic,Bayern Munich,Bundesliga,21,MF,188.0,Right,No,65.0,50.10828025477707,5.7324840764331215,35.392509554140126
Aljoscha Kemlein,Union Berlin,Bundesliga,21,MF,181.0,Right,No,9.0,58.925159235668794,88.53503184713377,66.15821656050956
Andreas Schjelderup,Benfica,Primeira Liga,21,MF,176.0,Right,No,14.0,37.19267515923567,48.40764331210191,37.432980891719744
Andrey Santos,Chelsea,Premier League,21,MF,180.0,Right,No,40.0,53.453821656050955,23.56687898089172,44.48773885350318
Antonio Nusa,RB Leipzig,Bundesliga,20,"FW,MF",180.0,Right,No,32.0,40.5079617834395,20.70063694267516,33.43154140127388
Archie Gray,Tottenham Hotspur,Premier League,19,"MF,DF",187.0,Right,No,35.0,46.851910828025474,23.88535031847134,39.96194267515923
Arthur Avom,Lorient,Ligue 1,21,MF,175.0,Right,Sí,9.0,62.068471337579616,63.69426751592356,61.939249585987255
Bazoumana Touré,Hoffenheim,Bundesliga,19,"MF,FW",170.0,Right,No,25.0,40.96656050955414,30.573248407643312,36.701503184713374
Bilal El Khannouss,Stuttgart,Bundesliga,21,"MF,FW",180.0,Right,No,32.0,50.23248407643312,29.936305732484076,42.73712101910828
Brajan Gruda,Brighton,Premier League,21,MF,179.0,Left,No,28.0,35.53980891719745,21.97452229299363,31.470222929936302
Can Uzun,Eintracht Frankfurt,Bundesliga,20,MF,180.0,Right,No,45.0,35.955414012738856,6.687898089171974,26.168407643312104
Chemsdine Talbi,Sunderland,Premier League,20,"MF,FW",175.0,Right,No,22.0,36.6671974522293,33.43949044585987,35.69888535031847
Christian Kofane,Leverkusen,Bundesliga,19,"FW,MF",186.0,Right,No,22.0,32.57165605095541,27.70700636942675,30.200254777070057
