Player,Squad,League,Age,Pos,Pie,Altura_cm,Valor_M€,Finaliza_Contrato,Score_MP_LG,Score_Final
Anis Mehmeti,Bristol City,Championship,25,"MF,FW",Right,180.0,10.0,No,64.30434782608695,71.53478260869565
Léo Scienza,Southampton,Championship,27,"MF,FW",Right,175.0,9.0,No,62.88768115942029,70.97789855072463
Marcus Rashford,Barcelona,La Liga,28,"MF,FW",Right,185.0,40.0,No,81.20507246376812,68.58268115942029
Morgan Whittaker,Middlesbrough,Championship,25,"MF,FW",Left,178.0,10.0,No,60.59329710144926,68.50226449275361
Antony,Real Betis,La Liga,26,"MF,FW",Left,174.0,30.0,No,74.40543478260868,67.3011956521739
Scott Twine,Bristol City,Championship,26,"MF,FW",Right,174.0,10.0,No,58.86865942028985,66.86023550724637
Romano Schmid,Werder Bremen,Bundesliga,26,"MF,FW",Right,168.0,17.0,No,63.80869565217391,66.83999999999999
Jarrod Bowen,West Ham United,Premier League,29,"MF,FW",Left,175.0,35.0,No,76.66666666666666,66.71014492753622
Kenan Yıldız,Juventus,Serie A,20,"MF,FW",Right,185.0,75.0,No,83.21105072463767,62.160778985507235
Deniz Undav,Stuttgart,Bundesliga,29,"FW,MF",Right,178.0,20.0,No,61.35652173913043,61.64521739130434
