Player,Squad,League,Age,Pos,Altura_cm,Pie,Finaliza_Contrato,Valor_M€,Score_MP_LG,p_Efficiency,Score_Final
Adrián Liso,Getafe,La Liga,20,"FW,MF",184.0,Left,No,8.0,28.472499999999997,68.57142857142857,40.502178571428566
Antonio Nusa,RB Leipzig,Bundesliga,20,"FW,MF",180.0,Right,No,32.0,58.45714285714284,34.285714285714285,51.20571428571427
Bazoumana Touré,Hoffenheim,Bundesliga,19,"MF,FW",170.0,Right,No,25.0,57.0,44.285714285714285,53.18571428571428
Bilal El Khannouss,Stuttgart,Bundesliga,21,"MF,FW",180.0,Right,No,32.0,53.29714285714285,25.71428571428571,45.02228571428571
Chemsdine Talbi,Sunderland,Premier League,20,"MF,FW",175.0,Right,No,22.0,36.107142857142854,24.285714285714285,32.56071428571428
Diogo Travassos,Moreirense,Primeira Liga,21,"MF,FW",175.0,Right,No,2.5,27.232857142857142,97.14285714285714,48.20585714285714
Ilyas Ansah,Union Berlin,Bundesliga,21,"MF,FW",194.0,Right,No,12.0,28.131428571428568,47.14285714285714,33.83485714285714
Jean Mattéo Bahoya,Eintracht Frankfurt,Bundesliga,20,"MF,FW",180.0,Right,No,25.0,38.434285714285714,18.571428571428573,32.47542857142857
Kenan Yıldız,Juventus,Serie A,20,"MF,FW",185.0,Right,No,75.0,83.31160714285714,12.857142857142856,62.17526785714285
Mario Martín,Getafe,La Liga,21,"MF,FW",177.0,Right,No,5.0,14.2275,57.14285714285714,27.102107142857143
Mert Kömür,Augsburg,Bundesliga,20,"FW,MF",183.0,Right,No,12.0,49.57714285714285,77.14285714285715,57.84685714285714
Said El Mala,Köln,Bundesliga,19,"FW,MF",186.0,Right,No,40.0,61.559999999999995,20.0,49.09199999999999
Wilson Odobert,Tottenham Hotspur,Premier League,21,"MF,FW",182.0,Right,No,22.0,40.64285714285714,35.714285714285715,39.16428571428571
Óscar Perea,AVS Futebol,Primeira Liga,20,"MF,FW",180.0,Right,No,2.0,24.969999999999995,100.0,47.479
